tx_hash,from,to,gas_used,gas_price,transaction_fee,block_number,block_size,block_gas_used,gas_efficiency,block_interval,throughput,latency,tx_size,avg_gas_price_gwei,timestamp,relative_time
5ccefd45e7c47fef2977ad7c8ae367ace656bc28922040df07ef46d53a5f5dfe,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,1107421875,23650101562500,1,697,21356,0.3177042461478955,31,1,,697.0,1.107421875,2025-03-07 15:48:03,0.0
7d08d940aad75316e99532bafa453c33ad19fe024dc9a6a6ccf6ceaca4154bd0,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,969873723,20712623228388,2,697,21356,0.3177042461478955,0,1,0.0,697.0,0.969873723,2025-03-07 15:48:03,0.0
fbec651db11cf75a2ea4ffc772e0f10368fd811b3024538da5e02925356c770c,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,849409841,18139996564396,3,697,21356,0.3177042461478955,0,1,0.0,697.0,0.849409841,2025-03-07 15:48:03,0.0
874829f918c6825149a5664654ed0bcebd4fe93b7a240912fbe9e056cbc4398b,0x8509423B027D8331A7EB3b33Efbd0071a9385686,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,743908264,15886904885984,4,697,21356,0.3177042461478955,0,1,0.0,697.0,0.743908264,2025-03-07 15:48:03,0.0
1489690e359d437e7900addb1e3e5aa88e30d0c44576033e0a5764887d0efec2,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,651510588,13905841990272,5,697,21344,0.3175257271858345,0,1,0.0,697.0,0.651510588,2025-03-07 15:48:03,0.0
d966f303a031c94dcdd97562523986eba1a9cb4d802ec131233dc94742bd2b35,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,570588943,12185497466708,6,697,21356,0.3177042461478955,0,1,0.0,697.0,0.570588943,2025-03-07 15:48:03,0.0
4f10adef5a68959c5bdcff31a23c5ed017c256e9e2adbf379e1b2606264bf914,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,499718522,10671988755832,7,697,21356,0.3177042461478955,0,1,0.0,697.0,0.499718522,2025-03-07 15:48:03,0.0
2d6459cb36707c6b120859a233b061e8a218cfcda6ffabeab769993fbef54f21,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,437650615,9346466533940,8,697,21356,0.3177042461478955,0,1,0.0,697.0,0.437650615,2025-03-07 15:48:03,0.0
82a17888db76e07355e553f00a28b5dbdd70dbcbd7da42b7a35876a2f8a7bbce,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,383291896,8185581730976,9,697,21356,0.3177042461478955,0,1,0.0,697.0,0.383291896,2025-03-07 15:48:03,0.0
8ea6e253a7a10ecaa2d687b4d7e2b1465deb893e29c5001468c7523c1495f8c5,0x8509423B027D8331A7EB3b33Efbd0071a9385686,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,335684844,7168885528464,10,697,21356,0.3177042461478955,0,1,0.0,697.0,0.335684844,2025-03-07 15:48:03,0.0
ec7f66b633e577faface89aeee00ed7a604b2195814705359fd47bdb6df98839,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,293990860,6278468806160,11,697,21356,0.3177042461478955,0,1,0.0,697.0,0.29399086,2025-03-07 15:48:03,0.0
5f28e10c1e799641fe3e01af8342b87d9a3f48b710d9f87b23b1b590929648b9,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,257475507,5498646927492,12,697,21356,0.3177042461478955,0,1,0.0,697.0,0.257475507,2025-03-07 15:48:03,0.0
5d98ae87b8c44ae9a8cd623971860a4626f55f2f6626489d964bc79530f3cb6d,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,225495572,4815683435632,13,697,21356,0.3177042461478955,1,1,1.0,697.0,0.225495572,2025-03-07 15:48:04,1.0
cea48cd8ee1a107d866fde01aa90b7b636cdf0e4a40f4429db5aeb6d8fc9b339,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,197487730,4217547961880,14,697,21356,0.3177042461478955,0,1,0.0,697.0,0.19748773,2025-03-07 15:48:04,1.0
ce19fc8838e821e03c6f2df0144eeb8136e327bcbd123c891a7dc5af82e2d597,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,172958621,3693704310076,15,697,21356,0.3177042461478955,0,1,0.0,697.0,0.172958621,2025-03-07 15:48:04,1.0
0e732c44cca6ced0974fced776290809ddd32ec428d0403fe47bba0d62e61bd0,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,151476168,3234925043808,16,697,21356,0.3177042461478955,0,1,0.0,697.0,0.151476168,2025-03-07 15:48:04,1.0
f8b5c2a58dbaed843e2054d1db38e81cf4136e31d7c47be259d8a061871930d4,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,132661958,2833128775048,17,697,21356,0.3177042461478955,0,1,0.0,697.0,0.132661958,2025-03-07 15:48:04,1.0
cb37ba437d5c5fcc0795652f6b950a57d35e315a63851d6187cbb0b9e1931dc4,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,116184583,2481237954548,18,697,21356,0.3177042461478955,0,1,0.0,697.0,0.116184583,2025-03-07 15:48:04,1.0
d3100ab07d662ffab1e94fa6bdd4d9af01aa155bb5008deaf71e6fb8f722a1b7,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,101753791,2173053960596,19,697,21356,0.3177042461478955,0,1,0.0,697.0,0.101753791,2025-03-07 15:48:04,1.0
f0806ff0c8ace066dc3e6831bdcb64a0f68e13dbc7fa822ba2a3523df60e1240,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,89115386,1903148183416,20,697,21356,0.3177042461478955,0,1,0.0,697.0,0.089115386,2025-03-07 15:48:04,1.0
13fb822a162edd027db49fc3972384d93dc538dd884ce7072059c11d67a22a9b,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,78046744,1666766264864,21,697,21356,0.3177042461478955,0,1,0.0,697.0,0.078046744,2025-03-07 15:48:04,1.0
e97ac12ef5d3a802b0f605ff1e6c1da3976e4c0b690feffbb11b19174b620489,0x8509423B027D8331A7EB3b33Efbd0071a9385686,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,68352890,1459744318840,22,697,21356,0.3177042461478955,0,1,0.0,697.0,0.06835289,2025-03-07 15:48:04,1.0
c32b7f6467520befa1d26b8bacd27b405ef45246fcffcd9540725105480abac7,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,59863070,1278435722920,23,697,21356,0.3177042461478955,0,1,0.0,697.0,0.05986307,2025-03-07 15:48:04,1.0
c5dc1958a5e9612257d9a2421b8378f3ba3469a15a0a0591c493e5ca5d5afb57,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,52427732,1119017511808,24,697,21344,0.3175257271858345,1,1,1.0,697.0,0.052427732,2025-03-07 15:48:05,2.0
c954c5376a628e05bc23f7cd4afb1c9ac3059e2f54b4ac87a8a1a3e483c43f05,0x8509423B027D8331A7EB3b33Efbd0071a9385686,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,45915885,980028649440,25,697,21344,0.3175257271858345,0,1,0.0,697.0,0.045915885,2025-03-07 15:48:05,2.0
eeb0b2ed94d71ef8924ae6f859abe679b03b9da3df383dde2554c3ec12d4490f,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,40212848,858303027712,26,697,21344,0.3175257271858345,0,1,0.0,697.0,0.040212848,2025-03-07 15:48:05,2.0
f2380fbd529c04158f0e7c3fca8996375d9a69da591048d0a97fe5e38a817146,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,35218164,752119110384,27,697,21356,0.3177042461478955,0,1,0.0,697.0,0.035218164,2025-03-07 15:48:05,2.0
109de4a93d574c254d3cd48d21552150e9944701b4a25e95193173372cb57eac,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,30843866,658331475904,28,697,21344,0.3175257271858345,0,1,0.0,697.0,0.030843866,2025-03-07 15:48:05,2.0
992ed562c14007ae526e1bd42b7cf08de723d87c85611952381555c7871b4cb6,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,27012867,576886787652,29,697,21356,0.3177042461478955,0,1,0.0,697.0,0.027012867,2025-03-07 15:48:05,2.0
dda225ca5acdad742da7958c9a821bb36fc6b6069f9ae553427cdfc6a387a96b,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,23657715,504950268960,30,697,21344,0.3175257271858345,0,1,0.0,697.0,0.023657715,2025-03-07 15:48:05,2.0
ae5ecddf2af85d1c7bd365940e4c3d7d9ae00edc55534d3f7e2c4423a1c8bd2c,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,20719280,442480943680,31,696,21356,0.3177042461478955,0,1,0.0,696.0,0.02071928,2025-03-07 15:48:05,2.0
fec51316c53ce7ab62175429e326052ef28e48b4efe7ff447cf3aa6a1e2f0ea1,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,18145827,387304531488,32,696,21344,0.3175257271858345,0,1,0.0,696.0,0.018145827,2025-03-07 15:48:05,2.0
76dd0580f2fa8ef2e57feaf99e43137a7e970333db1d37acf04b2aeff7f416d7,0x988fb2e6FC08b79cB7bcAFC810937C1DE4673a25,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,15892003,339389616068,33,695,21356,0.3177042461478955,0,1,0.0,695.0,0.015892003,2025-03-07 15:48:05,2.0
643397e737c8f787965ce6815b68733e9ef49ac1c63d64c57addf6d7272b54b1,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,13918125,297235477500,34,695,21356,0.3177042461478955,0,1,0.0,695.0,0.013918125,2025-03-07 15:48:05,2.0
857656986a1202da2e471babc2e77621c8cdc46fcbdd535fcc404ed9b0d00993,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,12189414,260317125384,35,695,21356,0.3177042461478955,0,1,0.0,695.0,0.012189414,2025-03-07 15:48:05,2.0
fccd6734688ba694bfcdbfd63d8ecc0a84264504e60b7c51f903860d3f2b71c7,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,10675419,227984248164,36,695,21356,0.3177042461478955,0,1,0.0,695.0,0.010675419,2025-03-07 15:48:05,2.0
63ecf8f51a6b23f7fa64064d58a2d3008fddaf533b8e6366e0c5bf1c1058ec18,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,9349472,199667324032,37,695,21356,0.3177042461478955,0,1,0.0,695.0,0.009349472,2025-03-07 15:48:05,2.0
7b23e753c29cc2dfd00836ad71f441c89fb3c8f0e5f0dc65ae4e2dbf03156031,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,8188214,174769239616,38,695,21344,0.3175257271858345,0,1,0.0,695.0,0.008188214,2025-03-07 15:48:05,2.0
6acd91a9018d9051879ce4908fb937f395abe32f18e3888e99125a0e154855bf,0xd772Dfd5758D27AC1E67ee8F13F82f6AB2842115,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,7171188,153147890928,39,695,21356,0.3177042461478955,1,1,1.0,695.0,0.007171188,2025-03-07 15:48:06,3.0
30d5bc403c6f743f6fd853991dad8e0e935ba19ef6993eea6f5f0b1d257201bb,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,6280486,134126059016,40,695,21356,0.3177042461478955,0,1,0.0,695.0,0.006280486,2025-03-07 15:48:06,3.0
23808da3fa9a56b22672a127af38ad50175ceecbb590712a10a296815f6f7a0c,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,5500414,117466841384,41,695,21356,0.3177042461478955,0,1,0.0,695.0,0.005500414,2025-03-07 15:48:06,3.0
78b8cff9182b507d8e7ef7a74645a85897a808c0106eddd3812564f1fef2499d,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,4817232,102818999808,42,695,21344,0.3175257271858345,0,1,0.0,695.0,0.004817232,2025-03-07 15:48:06,3.0
32a1225fac3ec310dbc287d7959a0cc07157f68accfbabdd37af5af96bcd655c,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,4218901,90098849756,43,695,21356,0.3177042461478955,0,1,0.0,695.0,0.004218901,2025-03-07 15:48:06,3.0
350cf0151ebfa0009384a068c660b739ebb6425f78b07059d6558c4c05fc26c8,0x988fb2e6FC08b79cB7bcAFC810937C1DE4673a25,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,3694890,78908070840,44,695,21356,0.3177042461478955,0,1,0.0,695.0,0.00369489,2025-03-07 15:48:06,3.0
b5cc39f5a14d886b41fc7e8aec5e24a728d7352974e804a0cf5c2feb1a3114e9,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,3235964,69107247184,45,695,21356,0.3177042461478955,0,1,0.0,695.0,0.003235964,2025-03-07 15:48:06,3.0
95a24ed4d8940928d218a087f7ffc831dcff976c34d55412ad558e6443861561,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21356,2834040,60523758240,46,695,21356,0.3177042461478955,0,1,0.0,695.0,0.00283404,2025-03-07 15:48:06,3.0
dfd9f17366718a5032d8e08eb0d0a1fab5b813fac8c99b8ccc919f18c11e2d81,0x5BD22d3Ba0D84eb4B1e5fEb2B1F36219a681AC71,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,2482036,52976576384,47,695,21344,0.3175257271858345,0,1,0.0,695.0,0.002482036,2025-03-07 15:48:06,3.0
ff9f77ea502bf95260ac74afa2417672665a93024f75fc54ee9e733ac079dde6,0xA4583c956148dD55A441EaF573A9d5cC7aA6fb04,0x629739ff45aEcff36eAefe9db59F59329eE0b154,21344,2173753,46396584032,48,695,21344,0.3175257271858345,0,1,0.0,695.0,0.002173753,2025-03-07 15:48:06,3.0
