User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,Distance_meters,x_coordinate,y_coordinate
1,6,-58.890390158421816,30.66912984810591,12302.430771187008,13600.441227486885,74.74790787039693,581.3908880241864,-409.91582809808057,412.29161833854556
2,6,-68.32986995777937,24.09076759514376,10999.40836334207,12501.582481117062,75.18760322583704,504.73100041689855,480.72288398395017,-153.8144713477794
3,6,-48.66478852947169,42.79512348941241,13499.641171053,14798.807235387578,75.60347160260949,771.7161896394208,-87.12228674104094,-766.7826188070504
4,6,-55.35515248910722,35.15139100948717,12601.857331007232,13899.29982096231,73.48882044231163,650.5586326338912,-529.5174068925785,-377.9389504830611
5,6,-41.00356017308664,49.14314684528391,14199.128120816744,15499.019392114782,74.57749207083761,873.779439125385,486.5014587854604,725.8146036267742
6,6,-67.10593044205743,24.05914424321904,11199.636689121518,12800.712421270877,75.00328884293411,497.7453330978379,277.1964731832172,413.415688956604
7,6,-80.05230815085186,29.368428370207784,10999.993805091512,12500.79305331946,79.89893238819076,693.7311646566679,648.0431208949898,247.59451180625672
8,6,-69.43846770655111,26.197660091042497,10201.33484857424,12600.249217658566,79.91312439372237,547.8920214939552,365.3546908985841,-408.29109352903197
9,6,-57.730387593553296,31.522268582721782,12400.100738188752,13699.694146978833,75.35543847234935,593.0378639840966,-477.3238731837377,-351.9315675066602
10,6,-55.10061434630711,36.13934297882528,12700.49444039812,14001.291963383388,74.66366374086344,667.2597796103975,-173.7552780816347,-644.239642388211
11,6,-66.57751323323141,25.221254122851,11498.68922686662,12801.41339801792,74.31043476795182,515.4613503869789,511.15607668055173,66.48209544917893
12,6,-45.8751931746698,43.89283601517585,13602.26010677372,14901.152204770377,75.65661947026042,787.1031020224752,773.0776783705383,-147.92632091220844
13,6,-62.43186728226911,26.972179309679174,11799.759288857736,13099.564296080973,74.17587654658288,528.4170295550887,261.6433580524918,-459.094010319062
14,6,-66.21063359582001,25.189060725824543,11199.926406681252,12800.012758316709,72.14031203337744,513.1311278490418,120.29241213256611,498.8319255530449
15,6,-80.1647019101154,30.538756145409035,10501.821364738584,12298.122259116051,69.57296861409519,715.5461798538333,297.220875655409,650.8963716122915
16,6,-69.24341970124625,26.87265462125183,10899.79788182238,12398.602925975332,74.40164006657787,558.5641670839902,226.96028933685352,510.3753087820408
17,6,-81.98157886681206,27.346919327087747,10800.745726950032,12002.088514687595,70.776907591123,682.6848363372297,-228.1904405209807,643.4187661388428
18,6,-45.71116322830507,44.28953355300403,13699.784812197577,15001.061351438688,74.23923969140431,793.8416090196324,-784.2572329005516,-122.98411626730052
19,6,-43.59340277104312,48.4982444528055,14099.920848638816,15401.141507737437,74.30717365799418,865.0523254721184,-787.1654076837196,358.728513991909
20,6,-54.499512672502966,34.55457000850139,12699.517879813293,14000.78823794354,75.49355766095142,638.1761045191454,-163.47690285503037,616.8825192953341
21,6,-66.50167078529974,24.17076445246557,11198.246259139523,12800.792422617307,75.6302964765895,496.70903027124723,-379.00898383621666,-321.0483622827584
22,6,-65.2730467393102,24.15353138312172,11502.520807634157,12801.018137609564,73.76761388519672,490.6831530833639,313.97398038162055,377.08128614816417
23,6,-52.33562182094391,39.5128673544888,13200.816132361157,14500.045955224105,74.71856987878833,720.5050368390567,-188.56970568855556,695.3912382299493
24,6,-82.01694531772769,28.45765807158632,10702.237965611735,12198.83272155029,68.518740798524,702.5982273533871,-469.12909633943303,523.0317008058582
25,6,-82.78115129800702,29.60687031914185,10299.62437915592,12101.45073354352,68.57807545090155,733.2582589839731,-705.5026755561857,199.8340540330165
26,6,-75.69635153469176,31.631590469014903,11997.750881871556,13999.252094212688,68.3063249591578,688.5405755599207,150.94329680250277,-671.7918169662224
27,6,-46.07248379208303,42.24516940958875,13499.592480834795,14799.591007661962,74.1873752388937,758.516870831714,235.87273895872642,720.9104620911279
28,6,-61.53690452032664,28.07361552865676,11800.709797859794,13101.63995406622,75.7471525922097,544.4670927921128,-542.2909242045531,-48.63094342974295
29,6,-84.59969850388823,28.465204884433145,10801.212283405544,12001.738448814238,69.3653475003834,740.6209472997369,-619.2346147154143,-406.2854655502854
30,6,-68.30095145169554,23.90616755133396,11199.944328965312,12500.877152812189,74.11057926588836,501.34247171205857,480.14137017274305,144.2516502193205
31,6,-65.69439982779167,23.46510099371369,11398.934967380615,12701.402166620375,75.39042060804489,480.54685008954175,-374.9486860470283,-300.5640663196243
32,6,-39.96345735851275,55.2332708137449,14499.965297898769,15800.521849490317,73.72037681773541,979.4456014950524,469.0224563961747,859.8439519378521
33,6,-80.5670511682672,30.548567836856574,11000.210542456029,12499.353643414475,80.34650175047598,720.5760561778776,661.2192050249026,286.38962209392224
34,6,-53.11840643128137,37.48974394392371,13000.517259354716,14300.413678808343,74.69899487161585,686.6345188128621,651.5264593021309,-216.74924510733473
35,6,-52.53229478537124,36.29390613006266,12901.443881103376,14200.49852362362,75.44295626086394,664.5512659535141,649.117295868098,-142.39073454865743
36,6,-53.81391200774655,36.940648019122186,12897.61330225562,14200.101344790142,76.22217055687808,678.4563153955297,243.39174041667684,-633.2956912825315
37,6,-77.03849524010936,31.361489444579497,11999.856873582345,14000.95626185738,69.77581016742748,696.2748837763221,-234.2642144686733,655.6820811926359
38,6,-66.57321555601384,23.47634617634681,11399.585821734412,12699.82829095156,73.7359166568565,484.9045165268403,396.4227356996491,279.25150808641115
39,6,-55.99559629891317,36.147202081614914,12700.835943956772,14000.249817315922,75.28740364503842,669.5091237528131,-268.85207073152014,-613.1566120100422
40,6,-66.38215524916072,24.024210744386124,11199.76001826531,12800.906889467566,75.91011056390681,493.56696942581664,-459.0808412793109,181.25433644044267
41,6,-67.8055626222003,23.848455754724565,10999.389483599363,12500.499618043865,73.29611459247998,497.6715863162111,358.3943922580706,345.29765047631327
