User_ID,Application_Type,Network_Slice,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,Distance_meters,x_coordinate,y_coordinate,Assigned_Edge_Node,New_Distance,Updated_Signal_Strength,Updated_Latency
1,2,eMBB,-75.15502604923918,46.49280850147592,1999.5852572796105,1998.5402600899463,69.73281096530062,2324.65,42.0672362116205,11.692400362670355,5005.0,1317.6902923146883,-64.84201918204745,30.37229506217965
2,7,eMBB,-96.60250924071876,43.47699574033887,2598.095820080698,3000.74418653814,71.42733963162915,2173.87,40.82449295840922,-3.4530501121438704,5002.0,1292.228117384329,-84.38317611113457,29.433285273215496
3,1,URLLC,-60.643157087579446,5.4727681950410085,799.1222245478964,900.6905526576143,70.03736070331209,273.64,-3.219919681028557,-0.9323488996271436,5004.0,210.26018201550485,-56.62809353461654,4.491486971268543
4,4,URLLC,-42.49879372810707,46.38837593330633,6300.504568061814,6600.096466476644,80.74391060987848,2319.42,-8.741820968551849,-39.73358872605052,5003.0,999.861780173895,-34.14777031185963,24.679115787697008
5,10,mMTC,-111.65484951104096,1.271437782217703,99.36838970286432,100.01516715048923,70.13457840537743,63.6274,0.7625195693594122,0.9684372545223425,5004.0,115.33942642475226,-130.32998018494854,1.9863021860135797
6,1,URLLC,-68.99548560408581,8.986904584931374,1201.4203153306123,1301.6772779581363,80.95036451614179,449.349,7.093294038145558,6.090869247997432,5004.0,539.9366624295048,-72.3699088375552,10.3140542016943
7,0,eMBB,-116.58835037594892,71.34352508988252,409.03473963455446,410.7699366732817,59.96978768227191,3567.25,18.541487402070587,-60.9510197449143,5002.0,2174.369085390146,-102.50736836261922,49.21577775673044
8,1,URLLC,-61.24014079256231,7.069284418624792,800.6702576944299,900.9023019807051,69.13752752193274,353.466,6.9087559605651165,-3.323456716037498,5004.0,371.0772031241512,-62.01924915915713,7.331839123109768
9,2,eMBB,-75.0470914788727,45.612082202955,2000.956106988539,2000.4219232844227,71.42295826698148,2280.61,39.37666234686421,-16.24769838335493,5002.0,597.0920455497154,-52.967726616189005,16.69446839534275
10,6,URLLC,-79.37797848110738,28.3493681771996,10499.138576399117,12300.135351980336,69.62668119602068,1417.48,-20.666917912364994,-12.35271449857997,5003.0,1086.831474723689,-74.08116509753255,23.228829947030782
11,6,URLLC,-67.8437692453254,26.057948924355653,11200.573221609451,12499.047236421728,75.46084303414082,1302.9,16.250066138391986,-17.956197520643315,5002.0,1056.496363250763,-64.24491637395356,22.266805739442084
12,1,URLLC,-50.55315332630011,3.223385181740185,598.5825151411835,599.8938320771821,71.68737858891762,161.17,1.1665987211789428,-2.634773062641713,5004.0,93.54806668862851,-43.88573833061547,2.14350826829347
13,4,URLLC,-73.74293652706221,20.65154538017036,2901.135157931656,3198.1086450679086,81.6544919907633,1032.58,20.090202853920374,3.0438269169387553,5004.0,1100.789175526764,-74.97963854234409,21.666456388898307
14,5,eMBB,-78.12273992845662,33.92729249164288,4300.871928080923,4797.968554659986,85.61552107181512,1696.37,28.394216575946274,14.975373379516867,5005.0,797.2943928175517,-64.1982189127709,19.258515067558953
