User_ID,Application_Type,Network_Slice,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,Distance_meters,x_coordinate,y_coordinate,Assigned_Edge_Node,New_Distance,Updated_Signal_Strength,Updated_Latency
1,2,eMBB,-75.15502604923918,46.49280850147592,1999.5852572796105,1998.5402600899463,69.73281096530062,2324.65,42.0672362116205,11.692400362670355,5002.0,1075.162992321865,-280.68371098066285,0.0035838766410728833
2,7,eMBB,-96.60250924071876,43.47699574033887,2598.095820080698,3000.74418653814,71.42733963162915,2173.87,40.82449295840922,-3.4530501121438704,5002.0,398.6094566866929,-272.0651767896665,0.001328698188955643
3,1,URLLC,-60.643157087579446,5.4727681950410085,799.1222245478964,900.6905526576143,70.03736070331209,273.64,-3.219919681028557,-0.9323488996271436,5001.0,1190.879351521919,-281.5715801373995,0.003969597838406397
4,4,URLLC,-42.49879372810707,46.38837593330633,6300.504568061814,6600.096466476644,80.74391060987848,2319.42,-8.741820968551849,-39.73358872605052,5003.0,884.2320622828692,-278.9855500019756,0.0029474402076095636
5,10,mMTC,-111.65484951104096,1.271437782217703,99.36838970286432,100.01516715048923,70.13457840537743,63.6274,0.7625195693594122,0.9684372545223425,5001.0,1143.8541718451338,-281.2216380436543,0.003812847239483779
6,1,URLLC,-68.99548560408581,8.986904584931374,1201.4203153306123,1301.6772779581363,80.95036451614179,449.349,7.093294038145558,6.090869247997432,5001.0,1086.803087041443,-280.7772421012721,0.00362267695680481
7,0,eMBB,-116.58835037594892,71.34352508988252,409.03473963455446,410.7699366732817,59.96978768227191,3567.25,18.541487402070587,-60.9510197449143,5003.0,2754.3491019979874,-288.85460452187885,0.009181163673326624
8,1,URLLC,-61.24014079256231,7.069284418624792,800.6702576944299,900.9023019807051,69.13752752193274,353.466,6.9087559605651165,-3.323456716037498,5002.0,1498.8170939965041,-283.5691975857314,0.004996056979988347
9,2,eMBB,-75.0470914788727,45.612082202955,2000.956106988539,2000.4219232844227,71.42295826698148,2280.61,39.37666234686421,-16.24769838335493,5002.0,665.9360491624939,-276.52287533867826,0.0022197868305416464
10,6,URLLC,-79.37797848110738,28.3493681771996,10499.138576399117,12300.135351980336,69.62668119602068,1417.48,-20.666917912364994,-12.35271449857997,5003.0,798.225507512466,-278.0967368675849,0.00266075169170822
