User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
1,6,-58.890390158421816,30.66912984810591,12302.430771187008,13600.441227486885,74.74790787039693
2,6,-68.32986995777937,24.09076759514376,10999.40836334207,12501.582481117062,75.18760322583704
3,6,-48.66478852947169,42.79512348941241,13499.641171053,14798.807235387578,75.60347160260949
4,6,-55.35515248910722,35.15139100948717,12601.857331007232,13899.29982096231,73.48882044231163
5,6,-41.00356017308664,49.14314684528391,14199.128120816744,15499.019392114782,74.57749207083761
6,6,-67.10593044205743,24.05914424321904,11199.636689121518,12800.712421270877,75.00328884293411
7,6,-80.05230815085186,29.368428370207784,10999.993805091513,12500.793053319461,79.89893238819076
8,6,-69.43846770655111,26.197660091042497,10201.33484857424,12600.249217658566,79.91312439372237
9,6,-57.730387593553296,31.522268582721786,12400.100738188752,13699.694146978833,75.35543847234935
10,6,-55.10061434630711,36.13934297882528,12700.49444039812,14001.291963383388,74.66366374086344
11,6,-66.57751323323141,25.221254122851,11498.68922686662,12801.413398017921,74.31043476795182
12,6,-45.8751931746698,43.89283601517585,13602.26010677372,14901.152204770377,75.65661947026042
13,6,-62.43186728226911,26.972179309679174,11799.759288857736,13099.564296080971,74.17587654658288
14,6,-66.21063359582001,25.189060725824543,11199.926406681252,12800.012758316707,72.14031203337744
15,6,-80.1647019101154,30.538756145409035,10501.821364738584,12298.122259116053,69.57296861409519
16,6,-69.24341970124625,26.87265462125183,10899.79788182238,12398.602925975332,74.40164006657787
17,6,-81.98157886681206,27.346919327087747,10800.745726950032,12002.088514687597,70.776907591123
18,6,-45.71116322830507,44.28953355300403,13699.784812197577,15001.061351438688,74.23923969140431
19,6,-43.59340277104312,48.4982444528055,14099.920848638816,15401.141507737435,74.30717365799418
20,6,-54.499512672502966,34.55457000850139,12699.517879813293,14000.78823794354,75.49355766095142
21,6,-66.50167078529974,24.170764452465566,11198.246259139523,12800.792422617307,75.6302964765895
22,6,-65.2730467393102,24.15353138312172,11502.520807634155,12801.018137609564,73.76761388519672
23,6,-52.335621820943906,39.512867354488804,13200.816132361157,14500.045955224103,74.71856987878833
24,6,-82.01694531772769,28.45765807158632,10702.237965611735,12198.83272155029,68.518740798524
25,6,-82.78115129800702,29.60687031914185,10299.62437915592,12101.45073354352,68.57807545090155
26,6,-75.69635153469176,31.631590469014906,11997.750881871556,13999.252094212687,68.3063249591578
27,6,-46.07248379208303,42.24516940958875,13499.592480834797,14799.591007661962,74.1873752388937
28,6,-61.536904520326644,28.07361552865676,11800.709797859794,13101.639954066219,75.7471525922097
29,6,-84.59969850388823,28.465204884433142,10801.212283405544,12001.738448814238,69.3653475003834
30,6,-68.30095145169554,23.906167551333958,11199.944328965312,12500.877152812187,74.11057926588836
31,6,-65.69439982779167,23.465100993713694,11398.934967380617,12701.402166620375,75.39042060804489
32,6,-39.96345735851275,55.2332708137449,14499.965297898769,15800.521849490317,73.72037681773541
33,6,-80.5670511682672,30.548567836856574,11000.210542456029,12499.353643414475,80.34650175047598
34,6,-53.11840643128137,37.48974394392371,13000.517259354716,14300.413678808343,74.69899487161585
35,6,-52.532294785371235,36.29390613006266,12901.443881103376,14200.498523623619,75.44295626086394
36,6,-53.81391200774655,36.940648019122186,12897.61330225562,14200.101344790142,76.22217055687808
37,6,-77.03849524010936,31.361489444579497,11999.856873582343,14000.95626185738,69.77581016742748
38,6,-66.57321555601384,23.476346176346812,11399.585821734412,12699.82829095156,73.7359166568565
39,6,-55.99559629891317,36.147202081614914,12700.835943956772,14000.249817315922,75.28740364503842
40,6,-66.38215524916072,24.024210744386124,11199.76001826531,12800.906889467566,75.91011056390681
41,6,-67.8055626222003,23.848455754724565,10999.389483599363,12500.499618043865,73.29611459247998
42,6,-75.88851159562675,30.932560506316975,10200.21204331877,12200.02824124848,74.63205543144876
43,6,-75.34930812554866,28.66371969077846,9999.389432642209,14998.970426505764,70.52469426247329
