User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,x_coordinate,y_coordinate
1,6,-58.890390158421816,30.66912984810591,12302.430771187008,13600.441227486885,74.74790787039693,-19.35591154440705,19.510283802070035
2,6,-68.32986995777937,24.09076759514376,10999.40836334207,12501.582481117062,75.18760322583704,20.349020547905155,-6.324345156771116
3,6,-48.66478852947169,42.79512348941241,13499.641171053,14798.807235387578,75.60347160260949,-4.3961013291358455,-37.566924199223216
4,6,-55.35515248910722,35.15139100948717,12601.857331007232,13899.29982096231,73.48882044231163,-25.581007928243878,-17.939945120173903
5,6,-41.00356017308664,49.14314684528391,14199.128120816744,15499.019392114782,74.57749207083761,24.28395854198976,36.44803723173615
6,6,-67.10593044205743,24.05914424321904,11199.636689121518,12800.712421270877,75.00328884293411,11.844500742530073,17.941965561670287
7,6,-80.05230815085186,29.368428370207784,10999.993805091512,12500.79305331946,79.89893238819076,24.34846813307034,9.504071351812271
8,6,-69.43846770655111,26.197660091042497,10201.33484857424,12600.249217658566,79.91312439372237,15.471198771174755,-17.14205638432314
9,6,-57.730387593553296,31.522268582721782,12400.100738188752,13699.694146978833,75.35543847234935,-22.694926813927083,-16.4173270790036
10,6,-55.10061434630711,36.13934297882528,12700.49444039812,14001.291963383388,74.66366374086344,-8.475776240521625,-30.79177436008247
11,6,-66.57751323323141,25.221254122851,11498.68922686662,12801.41339801792,74.31043476795182,22.189316598239245,3.084397748838043
12,6,-45.8751931746698,43.89283601517585,13602.26010677372,14901.152204770377,75.65661947026042,38.31425705966936,-7.130330815339818
13,6,-62.43186728226911,26.972179309679174,11799.759288857736,13099.564296080973,74.17587654658288,11.805777069956989,-20.615439569813546
14,6,-66.21063359582001,25.189060725824543,11199.926406681252,12800.012758316709,72.14031203337744,5.168639339411641,21.942027958591297
15,6,-80.1647019101154,30.538756145409035,10501.821364738584,12298.122259116051,69.57296861409519,11.208800544294988,24.865951009232873
16,6,-69.24341970124625,26.87265462125183,10899.79788182238,12398.602925975332,74.40164006657787,9.635564581185875,22.00166626483464
17,6,-81.98157886681206,27.346919327087747,10800.745726950032,12002.088514687595,70.776907591123,-8.235335068497363,23.084880288347975
18,6,-45.71116322830507,44.28953355300403,13699.784812197577,15001.061351438688,74.23923969140431,-39.07204096271186,-5.897973741028338
19,6,-43.59340277104312,48.4982444528055,14099.920848638816,15401.141507737437,74.30717365799418,-39.40773079120308,18.056339444815862
20,6,-54.499512672502966,34.55457000850139,12699.517879813293,14000.78823794354,75.49355766095142,-7.977663011830344,29.858807521293244
21,6,-66.50167078529974,24.17076445246557,11198.246259139523,12800.792422617307,75.6302964765895,-16.522613416934462,-13.67871271137723
22,6,-65.2730467393102,24.15353138312172,11502.520807634157,12801.018137609564,73.76761388519672,13.676598182700062,16.679655613891498
23,6,-52.33562182094391,39.5128673544888,13200.816132361157,14500.045955224105,74.71856987878833,-9.304763616819798,34.06294588780463
24,6,-82.01694531772769,28.45765807158632,10702.237965611735,12198.83272155029,68.518740798524,-17.019823038805143,19.009118566711095
25,6,-82.78115129800702,29.60687031914185,10299.62437915592,12101.45073354352,68.57807545090155,-25.469606451778304,7.361196737730339
26,6,-75.69635153469176,31.631590469014903,11997.750881871556,13999.252094212688,68.3063249591578,6.085631862161236,-27.212478717428183
27,6,-46.07248379208303,42.24516940958875,13499.592480834795,14799.591007661962,74.1873752388937,11.611248405451718,35.85252816796179
28,6,-61.53690452032664,28.07361552865676,11800.709797859794,13101.63995406622,75.7471525922097,-25.00209109129689,-2.0313110416883546
29,6,-84.59969850388823,28.465204884433145,10801.212283405544,12001.738448814238,69.3653475003834,-21.294641952792603,-13.67204718672511
30,6,-68.30095145169554,23.90616755133396,11199.944328965312,12500.877152812189,74.11057926588836,20.304784814185467,6.3042262081165745
31,6,-65.69439982779167,23.46510099371369,11398.934967380615,12701.402166620375,75.39042060804489,-16.40281377041576,-12.838400295849269
32,6,-39.96345735851275,55.2332708137449,14499.965297898769,15800.521849490317,73.72037681773541,23.47099982738179,43.25724893416373
33,6,-80.5670511682672,30.548567836856574,11000.210542456029,12499.353643414475,80.34650175047598,24.88115871206209,10.978049663818553
34,6,-53.11840643128137,37.48974394392371,13000.517259354716,14300.413678808343,74.69899487161585,31.59895354258896,-10.314290725700516
35,6,-52.53229478537124,36.29390613006266,12901.443881103376,14200.49852362362,75.44295626086394,31.490409420686007,-6.710653939263764
36,6,-53.81391200774655,36.940648019122186,12897.61330225562,14200.101344790142,76.22217055687808,11.714066433841609,-30.426962388120472
37,6,-77.03849524010936,31.361489444579497,11999.856873582345,14000.95626185738,69.77581016742748,-9.49222124330197,26.423235732057094
38,6,-66.57321555601384,23.47634617634681,11399.585821734412,12699.82829095156,73.7359166568565,17.006150332272895,12.202157511456718
39,6,-55.99559629891317,36.147202081614914,12700.835943956772,14000.249817315922,75.28740364503842,-13.023474413202536,-29.204023669087434
40,6,-66.38215524916072,24.024210744386124,11199.76001826531,12800.906889467566,75.91011056390681,-19.999123951892415,8.030599315815053
41,6,-67.8055626222003,23.848455754724565,10999.389483599363,12500.499618043865,73.29611459247998,15.208138493468994,14.890295841341569
42,6,-75.88851159562675,30.93256050631697,10200.21204331877,12200.02824124848,74.63205543144876,-27.636351404770195,1.0278851997652652
43,6,-75.34930812554866,28.66371969077846,9999.389432642209,14998.970426505764,70.52469426247329,24.85002282847715,5.653024934363714
44,6,-68.08070195224626,22.878712399102152,11201.47284472972,12799.559261537352,74.37662776247366,17.070368870226687,-10.764603255322854
45,6,-73.44645672669252,27.19225690444905,10499.767443776183,12499.877469907306,76.3351503366259,-1.4277182754456987,24.307660652511828
46,6,-47.4683662757065,41.63145522091915,13399.808260431548,14699.950211315689,75.81967992007623,-19.466213074748566,-31.330981733267407
47,6,-58.01735326895207,31.06909951947317,12399.865783005718,13699.6583849641,75.83259361302433,-10.557268251242917,25.73902824614727
